GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PruebaJava,com.prueba.java.pruebajava.producto.domain.exception,NoSuchElementException,4,0,0,0,2,0,1,0,1,0
PruebaJava,com.prueba.java.pruebajava.producto.domain.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
PruebaJava,com.prueba.java.pruebajava.producto.application.services,PriceService,0,20,0,0,0,5,0,3,0,3
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.input.controller.exception,ExceptionHandlerController,0,45,0,0,0,10,0,4,0,4
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.input.controller.mapper,PriceOutMapperImpl,31,39,6,2,8,10,5,2,1,2
PruebaJava,com.prueba.java.pruebajava.producto.domain.model,PriceDomain.PriceDomainBuilder,18,63,0,0,0,1,1,10,1,10
PruebaJava,com.prueba.java.pruebajava.producto.domain.model,PriceDomain,323,63,69,1,0,13,46,12,11,12
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.output.persistence.mapper,PriceMapper,0,5,0,0,0,1,0,1,0,1
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.output.persistence.mapper,PriceMapperImpl,31,51,5,1,8,12,4,2,1,2
PruebaJava,com.prueba.java.pruebajava,PruebaJavaApplication,5,3,0,0,2,1,1,1,1,1
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure,Config,0,25,0,0,0,7,0,2,0,2
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.input.controller.entities,PriceDTO,192,43,45,1,0,6,26,12,3,12
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.input.controller.entities,RestErrorDTO,164,31,38,0,0,5,23,9,4,9
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.output.persistence.entities,Price,359,27,70,0,3,10,49,9,14,9
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.output.persistence.entities,Price.PriceBuilder,81,0,0,0,1,0,11,0,11,0
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.input.controller,PriceController,0,22,0,0,0,6,0,2,0,2
PruebaJava,com.prueba.java.pruebajava.producto.application.usercases,GetPricesUseCaseImpl,0,101,0,12,0,22,0,13,0,7
PruebaJava,com.prueba.java.pruebajava.producto.infrastructure.output.persistence.repository,PriceRepositoryAdapter,10,26,0,0,1,6,1,3,1,3
